date_time,id_A,ask_A,ask_vol_A,bid_A,bid_vol_A,last_A,id_B,ask_B,ask_vol_B,bid_B,bid_vol_B,last_B,spd_ask,spd_bid,spd_last,trading_date
2019-05-22 21:20:00,al1908,14070.0,64.0,14065.0,78.0,14070.0,al1910,14050.0,17.0,14045.0,10.0,14045.0,20.0,20.0,25.0,2019-05-23
2019-05-22 21:30:00,al1908,14085.0,139.0,14080.0,94.0,14080.0,al1910,14060.0,12.0,14055.0,8.0,14060.0,25.0,25.0,20.0,2019-05-23
2019-05-22 21:40:00,al1908,14095.0,87.0,14085.0,97.0,14090.0,al1910,14060.0,17.0,14055.0,21.0,14060.0,30.0,35.0,30.0,2019-05-23
2019-05-22 21:50:00,al1908,14100.0,120.0,14095.0,85.0,14095.0,al1910,14070.0,6.0,14065.0,15.0,14065.0,30.0,30.0,30.0,2019-05-23
2019-05-22 22:00:00,al1908,14095.0,33.0,14090.0,51.0,14095.0,al1910,14065.0,15.0,14060.0,16.0,14060.0,30.0,30.0,35.0,2019-05-23
2019-05-22 22:10:00,al1908,14100.0,124.0,14095.0,70.0,14095.0,al1910,14070.0,8.0,14065.0,8.0,14065.0,30.0,30.0,30.0,2019-05-23
2019-05-22 22:20:00,al1908,14105.0,104.0,14100.0,27.0,14100.0,al1910,14070.0,4.0,14065.0,18.0,14065.0,35.0,35.0,35.0,2019-05-23
2019-05-22 22:30:00,al1908,14100.0,57.0,14095.0,67.0,14100.0,al1910,14075.0,16.0,14070.0,10.0,14070.0,25.0,25.0,30.0,2019-05-23
2019-05-22 22:40:00,al1908,14100.0,53.0,14095.0,53.0,14095.0,al1910,14070.0,2.0,14065.0,11.0,14065.0,30.0,30.0,30.0,2019-05-23
2019-05-22 22:50:00,al1908,14115.0,47.0,14110.0,12.0,14110.0,al1910,14085.0,6.0,14080.0,1.0,14080.0,30.0,30.0,30.0,2019-05-23
2019-05-22 23:00:00,al1908,14110.0,51.0,14100.0,95.0,14105.0,al1910,14080.0,8.0,14070.0,9.0,14070.0,30.0,30.0,35.0,2019-05-23
2019-05-22 23:10:00,al1908,14115.0,37.0,14110.0,27.0,14110.0,al1910,14085.0,2.0,14080.0,4.0,14085.0,30.0,30.0,25.0,2019-05-23
2019-05-22 23:20:00,al1908,14120.0,43.0,14115.0,38.0,14120.0,al1910,14090.0,7.0,14085.0,10.0,14085.0,30.0,30.0,35.0,2019-05-23
2019-05-22 23:30:00,al1908,14120.0,21.0,14115.0,38.0,14120.0,al1910,14090.0,2.0,14085.0,14.0,14085.0,30.0,30.0,35.0,2019-05-23
2019-05-22 23:40:00,al1908,14095.0,1.0,14090.0,98.0,14090.0,al1910,14075.0,9.0,14065.0,7.0,14075.0,25.0,20.0,15.0,2019-05-23
2019-05-22 23:50:00,al1908,14110.0,45.0,14105.0,22.0,14110.0,al1910,14085.0,5.0,14075.0,5.0,14075.0,30.0,25.0,35.0,2019-05-23
2019-05-23 00:00:00,al1908,14110.0,33.0,14105.0,9.0,14110.0,al1910,14085.0,4.0,14075.0,3.0,14080.0,30.0,25.0,30.0,2019-05-23
2019-05-23 00:10:00,al1908,14105.0,24.0,14100.0,7.0,14100.0,al1910,14080.0,7.0,14075.0,1.0,14080.0,25.0,25.0,20.0,2019-05-23
2019-05-23 00:20:00,al1908,14105.0,27.0,14100.0,9.0,14100.0,al1910,14080.0,8.0,14075.0,1.0,14080.0,25.0,25.0,20.0,2019-05-23
2019-05-23 00:30:00,al1908,14105.0,22.0,14100.0,8.0,14100.0,al1910,14080.0,1.0,14075.0,1.0,14080.0,25.0,25.0,20.0,2019-05-23
2019-05-23 00:40:00,al1908,14105.0,32.0,14100.0,8.0,14105.0,al1910,14080.0,1.0,14075.0,1.0,14080.0,25.0,25.0,25.0,2019-05-23
2019-05-23 09:20:00,al1908,14110.0,169.0,14105.0,4.0,14105.0,al1910,14075.0,7.0,14070.0,57.0,14075.0,35.0,35.0,30.0,2019-05-23
2019-05-23 09:30:00,al1908,14110.0,273.0,14105.0,75.0,14105.0,al1910,14075.0,6.0,14070.0,51.0,14075.0,35.0,35.0,30.0,2019-05-23
2019-05-23 09:40:00,al1908,14105.0,138.0,14100.0,36.0,14100.0,al1910,14075.0,13.0,14070.0,4.0,14070.0,30.0,30.0,30.0,2019-05-23
2019-05-23 09:50:00,al1908,14110.0,154.0,14105.0,94.0,14110.0,al1910,14080.0,35.0,14075.0,4.0,14080.0,30.0,30.0,30.0,2019-05-23
2019-05-23 10:00:00,al1908,14110.0,166.0,14105.0,141.0,14105.0,al1910,14080.0,31.0,14070.0,20.0,14075.0,35.0,30.0,30.0,2019-05-23
2019-05-23 10:10:00,al1908,14110.0,43.0,14105.0,81.0,14110.0,al1910,14075.0,21.0,14070.0,1.0,14075.0,35.0,35.0,35.0,2019-05-23
2019-05-23 10:30:00,al1908,14115.0,123.0,14110.0,63.0,14110.0,al1910,14080.0,13.0,14075.0,3.0,14080.0,35.0,35.0,30.0,2019-05-23
2019-05-23 10:40:00,al1908,14115.0,172.0,14110.0,31.0,14110.0,al1910,14080.0,23.0,14070.0,31.0,14075.0,40.0,35.0,35.0,2019-05-23
2019-05-23 10:50:00,al1908,14120.0,262.0,14115.0,22.0,14115.0,al1910,14085.0,26.0,14080.0,4.0,14080.0,35.0,35.0,35.0,2019-05-23
2019-05-23 11:00:00,al1908,14120.0,273.0,14115.0,123.0,14115.0,al1910,14090.0,13.0,14085.0,5.0,14085.0,30.0,30.0,30.0,2019-05-23
2019-05-23 11:10:00,al1908,14120.0,281.0,14115.0,71.0,14120.0,al1910,14090.0,13.0,14085.0,5.0,14085.0,30.0,30.0,35.0,2019-05-23
2019-05-23 11:20:00,al1908,14120.0,95.0,14115.0,79.0,14120.0,al1910,14095.0,9.0,14080.0,1.0,14090.0,35.0,25.0,30.0,2019-05-23
2019-05-23 11:30:00,al1908,14120.0,86.0,14115.0,79.0,14120.0,al1910,14095.0,9.0,14080.0,1.0,14090.0,35.0,25.0,30.0,2019-05-23
2019-05-23 13:30:00,al1908,14130.0,186.0,14120.0,156.0,14125.0,al1910,14100.0,57.0,14095.0,6.0,14095.0,25.0,30.0,30.0,2019-05-23
2019-05-23 13:40:00,al1908,14145.0,139.0,14140.0,58.0,14140.0,al1910,14115.0,22.0,14105.0,28.0,14105.0,35.0,30.0,35.0,2019-05-23
2019-05-23 13:50:00,al1908,14135.0,114.0,14130.0,118.0,14130.0,al1910,14100.0,49.0,14095.0,19.0,14095.0,35.0,35.0,35.0,2019-05-23
2019-05-23 14:00:00,al1908,14130.0,207.0,14125.0,79.0,14130.0,al1910,14095.0,2.0,14090.0,48.0,14090.0,35.0,35.0,40.0,2019-05-23
