,change_date,a_id,b_id
0,2018/1/2,al1803,al1804
1,2018/2/6,al1804,al1805
2,2018/3/1,al1805,al1806
3,2018/4/9,al1806,al1807
4,2018/5/2,al1807,al1808
5,2018/6/7,al1808,al1809
6,2018/7/3,al1809,al1810
7,2018/8/8,al1810,al1811
8,2018/9/4,al1811,al1812
9,2018/10/11,al1812,al1901
10,2018/11/2,al1901,al1902
11,2018/12/7,al1902,al1903
12,2019/1/4,al1903,al1904
13,2019/2/19,al1905,al1906
14,2019/4/17,al1906,al1907
15,2019/5/16,al1907,al1908
16,2019/6/12,al1908,al1909
17,2019/7/16,al1909,al1910
18,2019/8/8,al1910,al1911
19,2019/9/10,al1911,al1912
20,2019/10/8,al1912,al2001
21,2019/11/13,al2001,al2002
22,2019/12/11,al2002,al2003
23,2020/1/9,al2003,al2004
24,2020/2/13,al2004,al2005
25,2020/3/5,al2005,al2006
26,2020/4/1,al2006,al2007
27,2020/4/30,al2007,al2008
28,2020/6/23,al2008,al2009
29,2020/7/28,al2009,al2010
30,2020/8/27,al2010,al2011
31,2020/9/28,al2011,al2012
32,2020/10/29,al2012,al2101
33,2020/11/27,al2101,al2102
34,2020/12/24,al2102,al2103
35,2021/1/18,al2103,al2104
36,2021/2/22,al2104,al2105
37,2021/3/16,al2105,al2106
38,2021/4/22,al2106,al2107
39,2021/5/21,al2107,al2108
