,CU.SHF,ZN.SHF,AL.SHF,PB.SHF,NI.SHF,SN.SHF,RB.SHF,WR.SHF,HC.SHF,SS.SHF,BU.SHF,AU.SHF,AG.SHF,FU.SHF,RU.SHF,SP.SHF,C.DCE,CS.DCE,M.DCE,A.DCE,B.DCE,Y.DCE,P.DCE,FB.DCE,BB.DCE,JD.DCE,RR.DCE,L.DCE,V.DCE,PP.DCE,J.DCE,JM.DCE,I.DCE,EG.DCE,EB.DCE,PG.DCE,SC.INE,LU.INE,NR.INE,SR.CZC,CF.CZC,CY.CZC,ZC.CZC,FG.CZC,TA.CZC,MA.CZC,UR.CZC,SA.CZC,WH.CZC,PM.CZC,RI.CZC,LR.CZC,JR.CZC,RS.CZC,OI.CZC,RM.CZC,SF.CZC,SM.CZC,AP.CZC,CJ.CZC
2018-01-02,CU1803.SHF,ZN1802.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1801.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1801.DCE,BB1804.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR801.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
2018-01-03,CU1803.SHF,ZN1802.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1801.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1808.DCE,BB1804.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR801.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
2018-01-04,CU1803.SHF,ZN1803.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1801.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1808.DCE,BB1804.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR805.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
2018-01-05,CU1803.SHF,ZN1803.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1801.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1808.DCE,BB1804.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR805.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
2018-01-08,CU1803.SHF,ZN1803.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1801.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1808.DCE,BB1804.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR805.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
2018-01-09,CU1803.SHF,ZN1803.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1801.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1808.DCE,BB1804.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR805.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
2018-01-10,CU1803.SHF,ZN1803.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1801.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1808.DCE,BB1804.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR805.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
2018-01-11,CU1803.SHF,ZN1803.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1801.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1808.DCE,BB1804.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR805.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
2018-01-12,CU1803.SHF,ZN1803.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1801.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1808.DCE,BB1804.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR805.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
2018-01-15,CU1803.SHF,ZN1803.SHF,AL1803.SHF,PB1802.SHF,NI1805.SHF,SN1805.SHF,RB1805.SHF,WR1802.SHF,HC1805.SHF,,BU1806.SHF,AU1806.SHF,AG1806.SHF,FU1803.SHF,RU1805.SHF,,C1805.DCE,CS1805.DCE,M1805.DCE,A1805.DCE,B1805.DCE,Y1805.DCE,P1805.DCE,FB1808.DCE,BB1805.DCE,JD1805.DCE,,L1805.DCE,V1805.DCE,PP1805.DCE,J1805.DCE,JM1805.DCE,I1805.DCE,,,,,,,SR805.CZC,CF805.CZC,CY809.CZC,ZC805.CZC,FG805.CZC,TA805.CZC,MA805.CZC,,,WH805.CZC,PM805.CZC,RI807.CZC,LR805.CZC,JR807.CZC,RS807.CZC,OI805.CZC,RM805.CZC,SF805.CZC,SM805.CZC,AP805.CZC,
